계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
광고언론정보,"광고홍보학과, 신문방송학과, 정보미디어학과","확률과 통계, 생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 논리학, 심리학, 정보 등","영어권 문화, 여행지리, 사회문제 탐구, 과학사, 생활과 과학 등","- 자료 분석 및 데이터 통계 가공을 위한 수리적 사고가 필요해요.

- 다양한 시각을 가진 사람과의 소통 능력과 자료를 객관적으로 분석하는 능력이 필요해요. 

- 광고 전략 수립을 위한 논리적 사고, 이미지와 메시지 등을 구성하는 창의력과 예술(미학)적 감수성이 요구돼요."
사회과학,"사회학과, 사회복지학과, 아동학과, 지리학과, 항공서비스학과","확률과 통계, 생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 세계사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학, 교육학 등","영어권 문화, 진로 영어, 여행지리, 사회문제 탐구, 고전과 윤리, 제2외국어Ⅱ 등","- 인문학과 사회과학 관련된 독서 경험이 중요해요.

- 시사 탐구 또는 토론 관련 동아리 활동이 도움이 돼요. 

- 사회 변화에 대한 민감성이 있어야 하고, 사회 흐름을 살피는 데 관심이 있어야 해요."
법행정,"국제학과, 법학과, 보건행정학과, 정치외교학과, 행정학과","확률과 통계, 생활과 윤리, 세계사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 철학, 논리학  등","고전 읽기, 영어권 문화, 사회문제 탐구, 고전과 윤리, 제2외국어Ⅱ 등","- 사회적 이슈에 대한 흥미와 토론 학습 경험이 중요해요. 

- 사회문제가 내 문제 같고 복잡한 문제를 해결하는 데 흥미가 많아야 해요. 

- 다양한 시각을 가진 사람과의 소통 능력과 자료를 객관적으로 분석하는 능력이 필요해요."
자연과학,"대기과학과, 물리학과, 생명과학과, 수학과, 지질학과, 천문학과, 통계학과, 화학과","미적분, 확률과 통계, 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ 등","기하, 수학과제 탐구, 관련 과학Ⅱ 등","- 논리를 바탕으로 수학 문제를 해결하는 습관이 중요해요.

- 수학적 지식의 경우 자연과학, 공학, 의학뿐만 아니라 경제·경영학을 포함한 사회과학 분야 학습의 기초로서의 의미가 있어요.

- 천문학과는 우주적 현상과 관측 결과를 배워요.

- 물리 전공은 프로그래밍 관련 활동이 늘어나는 추세이고, 순수 이론 물리를 원하는 학생은 대학원 이상의 학습을 권장해요.

- 화학과의 경우 대학에서 물리학과 연관된 학습이 많아요.

- 자연과학의 경우 연구자가 되는 길이 많으므로 영어로 된 자료를 읽는 경우가 많아 영어 실력이 좋으면 도움이 되어요."
생활과학,"식품영양학과, 의류학과","미적분, 확률과 통계, 화학Ⅰ, 생명과학Ⅰ 등","기하, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학, 가정과학 등","- 식품영양학의 경우 통계 자료의 해석 능력이 요구되므로, 정치와 법, 생활과 윤리 같은 사회 과목도 이수하면 도움이 되어요.

- 의류학과의 경우 의상디자인의 복식사를 공부하기 위해 세계사 등 역사 과목에 대한 이해가 필요해요.

- 패션 관련 비즈니스를 위해 경제 과목도 도움이 되어요.

- 전공 기본 소양을 위해 기술·가정, 가정과학 등 생활·교양 과목 학습을 해도 좋아요."
농림,"농생물학과, 동물자원학과, 원예학과, 조경학과","미적분, 확률과 통계, 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ 등","기하, 화학Ⅱ, 생명과학Ⅱ 등","- 전공 기초 과목으로 화학, 생명과학이 매우 중요해요.

- 통계 및 분석 활동 역량이 요구되므로 확률과 통계, 화학 과목의 학업 역량이 도움이 되어요."
기계전자,"기계공학과, 기계설계공학과, 자동차공학과, 전기공학과, 전자공학과, 제어계측공학과, 항공우주공학과, 항공운항학과","미적분, 확률과 통계, 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ, 정보 등","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ 등"," 기하를 대학에서 벡터를 많이 사용하므로 매우 중요해요.

- 물리학I, II를 배우지 않고 진학한 학생들은 전공 과목 학습이 매우 어려워요.

- 프로그래밍을 대학에서 공부하기 때문에 컴퓨터 활용 능력이 도움이 되어요.

- 항공운항과의 경우 항공기에 대한 이해도 필요하지만 관련 법규에 대한 이해도 필요하기 때문에 ‘정치와 법’ 같은 사회 과목도 이수하면 좋아요."
정보컴퓨터,"멀티미디어학과, 소프트웨어학과, 정보통신공학과, 컴퓨터공학과","미적분, 확률과 통계, 물리학Ⅰ, 정보 등","인공지능 기초, 인공지능 수학, 기하, 물리학Ⅱ 등","- 프로그래밍언어는 모든 공학의 기초가 되기에 수학적 논리력이 필요해요.

- 최근 정보보안 관련 진로와 게임프로그래밍 관련 진로 등이 인기가 있어 지원자들이 많아요.

- 인공지능 및 로봇 관련으로 모든 학문과 융합이 가능한 분야로 다양한 과목을 골고루 이수하는 것이 도움이 되어요."
건축·환경,"건축공학과, 건축학과, 교통공학과, 도시공학과, 토목공학과, 해양공학과, 환경공학과","미적분, 확률과 통계, 한국지리, 세계지리, 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ, 기술/가정","기하, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학 등","- 인간이 거주하고 있는 공간 환경과, 주거 문화와 관련하여 생활의 편리를 추구하는 실용 학문 계열이에요. 

- 공학의 기본인 수학과 물리학, 그리고 역사, 예술 관련 과목을 기초로 지리적 요소와 사회/환경적인 요소들을 포괄하고 있어요.

- 사회 교과 중 지리 관련 교과목을 이수하는 것을 추천해요. "
화학생명,"생명공학과, 섬유공학과, 식품공학과, 신소재공학과, 에너지자원공학과, 재료공학과, 화장품과학과, 화학공학과","미적분, 확률과 통계, 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ","기하, 물리학Ⅱ, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학 등","- 화학, 생명 과학을 기초로 하는 응용공학 계열이에요.

- 인간의 건강과 식품, 생활의 편의를 위한 소품 및 소재 가공 등에 관한 연구를 해요.

- 과학 교과 중 생명과학, 화학과 밀접한 관련이 있으며, 수학적인 기초도 중요해요."
보건,"간호학과, 물리치료학과, 응급구조학과, 임상병리학과, 재활치료학과, 치기공학과, 치위생학과","확률과 통계, 생활과 윤리, 정치와 법, 화학Ⅰ, 생명과학Ⅰ, 보건 등","화학Ⅱ, 생명과학Ⅱ, 생활과 과학 등","- 화학과 생명과학을 기초로 인간의 건강한 생활을 유지하기 위한, 치료, 케어, 의약품 복용 및 관리 등과 관련된 실용적인 분야이에요.

- 과학 교과 중 생명과학, 화학과 밀접한 관련이 있어요.

- 인간 사랑과 생명 존중을 실천할 따뜻한 마음과 치료와 케어 수행 과정의 격무를 이겨내기 위한 희생 봉사정신 등 건전한 시민의식이 필요해요.

- 과학Ⅰ 과목 뿐 아니라 생활과 윤리 과목을 이수하기를 권장해요."
의학,"수의학과, 의예과, 치의예과, 한의예과, 약학과","미적분, 확률과 통계, 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 생활과 윤리, 정치와 법, 보건 등","화학Ⅱ, 생명과학Ⅱ 등","- 화학과 생명과학을 기초로 인간의 건강과 직결되는 진료, 치료, 생명연구, 의약품 복용 및 케어 등 실용적인 분야이에요.

- 인간 사랑과 생명 존중을 실천할 따뜻한 마음과 치료와 케어 수행 과정의 격무를 이겨내기 위한 희생 봉사 정신 등 건전한 시민 의식이 필요해요.

- 과학 교과 중 생명과학, 화학과 밀접한 관련이 있고 생활과 윤리 과목을 이수하기를 권장해요."
교육,"언어 교과 교육과, 사회 교과 교육과, 수학교육과, 과학 교과 교육과, 교육학과, 초등교육과, 유아교육과","확률과 통계, 전공 관련 교과 일반 선택, 교육학, 심리학",전공 관련 교과 진로 선택,"- 모든 교육 분야는 인간과 사회에 대한 폭넓고 다양한 지식이 필요해요.

- 유아교육의 경우 태아의 성장 과정을 배우는 가정 관련 과목에 대한 관심이 필요해요. 

- 초등교사는 모든 과목을 가르쳐야하기 때문에 음악, 미술, 체육 등도 중요해요.

- 교육학은 딱 떠오르는 교과목은 없지만 교육철학, 교육사회학 등의 세분화된 학문들을 접하기 때문에, 고등학교 시절 사회 과목들을 공부하며 기본을 다져 놓으면 좋아요. 

- 교과교육과는 과목 관련 교과 과목을 제대로 공부해 두면 좋아요. "
